Make,Model,Year,Engine,Seating,Price
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,61
Toyota,Prius  S LED Edition 1.8,2011,1800,5,34.75
Toyota,Corolla  Altis Automatic 1.6,2020,1600,5,42.5
Hyundai,Tucson  AWD A/T Ultimate,2022,2000,5,76
Honda,City 5th Generation 1.3 i-VTEC,2018,1300,5,28.45
KIA,Picanto  1.0 AT,2022,1000,5,
Suzuki,Wagon R  AGS,2021,1000,5,25.9
Suzuki,Alto  VXL AGS,2019,660,4,20.9
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,58.2
Toyota,Prius  S LED Edition 1.8,2010,1800,5,35
Suzuki,Alto  VX,1989,800,4,3
Toyota,Prado 120 Series TZ 3.0D,2005,3000,7,65
Suzuki,Alto  G,2013,660,4,17.25
Toyota,Prado 120 Series TX Limited 3.0D,2003,3000,7,67
Honda,Civic  ,2020,1800,5,48.5
Toyota,Land Cruiser 100 Series VX Limited 4.2D,2001,4200,7,70
Toyota,Corolla  Altis SR Cruisetronic 1.6,2011,1600,5,31.75
Suzuki,Cultus  EURO II,2012,1000,5,12.85
Suzuki,Mehran  VXR Euro II,2017,796,4,8.5
Suzuki,Wagon R  VXR,2021,1000,5,22.5
Toyota,Aqua  G LED Soft Leather Selection ,2013,1500,5,33
Honda,Fit  ,2012,1300,5,25
Toyota,Mark II  Grande 2.0,2003,2000,5,21
Honda,City  1.5L ASPIRE CVT,2022,1500,7,43.5
Suzuki,Bolan  VX (CNG),2007,800,5,7.2
Suzuki,FX  GA,1988,800,5,3.3
Honda,Fit  13G,2002,8000,5,13
Mitsubishi,Lancer  GLX SR Automatic 1.6,2005,1600,5,12.9
Toyota,Prius  S LED Edition 1.8,2013,1800,5,39.75
Suzuki,Swift  DLX Automatic 1.3 Navigation,2018,1300,5,23.2
Toyota,Prius  G Touring Selection 1.5,2007,1500,5,24
Proton,X70  Premium FWD,2022,1500,5,
Toyota,Hilux  Revo Rocco,2022,2800,5,
Toyota,Fortuner  Legender ,2022,2800,7,
Toyota,Yaris  ATIV CVT 1.3,2022,1300,5,
Honda,HR-V  VTi-S,2022,1500,5,
Suzuki,Alto  VXR,2022,660,4,21.45
Honda,S660  Alpha,2015,660,5,32.5
Suzuki,Wagon R  VXL,2019,1000,5,20
Toyota,Prado 90 Series RZ 3.0D (3-Door),2001,3000,7,38.95
Toyota,Corolla Fielder  Hybrid,2013,1500,5,
Toyota,Corolla  Altis Grande CVT-i 1.8,2017,1800,5,38.25
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,40.5
Suzuki,Alto  VXR,2022,660,4,22.3
Mercedes,Benz E Class 3rd (W211) Generation E200,2007,1800,5,47
Toyota,Corolla  GLi Automatic 1.3 VVTi,2016,1300,5,30
Suzuki,Mehran  VX,2003,800,4,5.2
Honda,Insight  HDD Navi Special Edition,2009,1300,7,26.5
Suzuki,Swift  DLX 1.3,2016,1300,5,18.5
Suzuki,Cultus  VXL (CNG),2007,1000,5,8.6
Nissan,AD Van  1.5 DX,2007,1500,5,15
Suzuki,Alto  E Manual,2011,660,4,15.85
Suzuki,Mehran  VX Euro II,2016,796,4,8.8
Suzuki,Alto  VXR (CNG),2007,1000,4,7.8
Suzuki,Alto  VXR,2022,660,4,21.2
Suzuki,Margalla  GLX,1996,1300,5,6.9
Suzuki,Swift  GLX CVT,2022,1200,5,40
Suzuki,Bolan  VX (CNG),1998,800,5,4.6
Toyota,Camry  Up-Spec Automatic 2.4,2011,2500,4,56
Suzuki,Cultus  VXR,2017,1000,5,21
Suzuki,Mehran  VX Euro II,2017,796,4,10.8
Toyota,Passo  + Hana Apricot Collection 1.0,2014,1000,5,20.95
Suzuki,Alto  VXR,2022,660,4,
Toyota,Corolla  2.0D Limited,2001,2000,5,8.8
Suzuki,Alto  VXR,2020,660,4,19.35
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,24.6
Honda,Freed  Hybrid,2013,1500,7,27.75
Honda,City  1.5L CVT,2022,1500,5,39.65
Toyota,Vitz  F 1.0,2012,1000,5,17.15
Honda,Civic  Oriel 1.8 i-VTEC CVT,2021,1800,5,
Honda,City 5th Generation 1.5 i-VTEC Prosmatec,2017,1500,5,28
Honda,City  i-DSI,2006,1300,7,15.5
Toyota,Fortuner  2.8 Sigma 4,2022,2800,7,
Toyota,Hilux  Revo V Automatic 2.8,2022,2800,5,
Hyundai,Sonata  2.5,2022,2500,5,
Toyota,Yaris  ATIV X CVT 1.5,2022,1500,5,
Honda,Civic  1.5 RS Turbo,2017,1500,5,46
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,39
Suzuki,Cultus  EURO II,2011,1000,5,9.5
Toyota,Passo  X L Package,2018,1000,5,33
Toyota,Corolla Fielder  Hybrid G,2015,1500,5,35.5
Suzuki,Cultus  VXL,2021,1000,5,27.5
Honda,Civic Reborn ,2007,2000,5,33
Honda,City  i-DSI,2004,1300,7,13.25
Suzuki,Cultus  VXR,2005,1000,5,6.5
Suzuki,Baleno  JXR,1999,1300,5,7.1
Suzuki,Ravi  ,2007,1000,2,5.8
Suzuki,Margalla  GLX,1991,1000,5,6
Suzuki,Vitara  ,2000,2000,5,24.95
Honda,Civic Eagle Eye EXi,2005,1500,5,14.7
Hyundai,Elantra  GL,2022,1600,5,51
Mitsubishi,Lancer  ,1997,1300,5,9.3
Nissan,Sunny  EX Saloon 1.3,2006,1300,5,12.9
Daihatsu,Cuore  CL,2003,800,5,6.75
Suzuki,Cultus  VXR,2017,1000,5,20.5
Honda,Civic  VTi Oriel 1.6,1999,1600,6,10.2
Nissan,Dayz Highway Star  ,2019,660,5,
Suzuki,Wagon R  Hybrid FZ,2020,660,5,29.5
Hyundai,Tucson  AWD A/T Ultimate,2022,2000,5,
Honda,Civic Rebirth VTi Prosmatec 1.8 i-VTEC,2013,1800,5,29.85
Honda,City  1.2L CVT,2022,1200,5,37.5
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,61.5
Peugeot,2008  Allure,2022,1200,5,
Toyota,Corolla  GLi Automatic 1.6 VVTi,2011,1600,5,26.5
Nissan,Patrol  ,1992,4200,8,30
Toyota,Aqua  G,2018,1500,5,44.99
Suzuki,Wagon R  Stingray X,2014,660,5,17.45
Honda,Civic EG EX,1995,1500,5,8.6
Daihatsu,Mira  ,2018,660,4,24.5
Toyota,Vitz  F 1.0,2011,1000,5,21.5
Honda,Civic Eagle Eye VTi Oriel UG Prosmatec 1.6,2005,1600,6,14.6
Honda,City  1.3 i-VTEC Prosmatec,2019,1300,5,33.9
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,67.5
Honda,Civic  1.5 RS Turbo,2022,1500,5,82
Toyota,Hilux  ,2021,2800,5,17
Toyota,Raize  Z,2020,1000,5,56.9
Changan,Alsvin  1.5L DCT Lumiere,2021,1500,5,31.75
Toyota,Corolla  Altis Automatic 1.6,2015,1600,5,33.5
Prince,Pearl  MT,2020,800,5,13.5
Suzuki,Wagon R  VXL,2018,1000,5,18.5
Mitsubishi,Ek Wagon  GS Marble Edition,2007,660,4,12.4
Suzuki,Baleno  GL,1999,1300,5,9.5
Honda,Grace Hybrid 6th Generation DX,2015,1500,6,39.5
Toyota,Corolla  GLi Automatic 1.3 VVTi,2020,1300,5,40
Toyota,Corolla  GLi Automatic 1.3 VVTi,2018,1300,5,34.25
Suzuki,Baleno  JXR,2002,1300,5,7.5
Nissan,Dayz  X,2018,660,5,23
Honda,Vezel  Hybrid RS Sensing ,2016,1500,5,55.75
Toyota,Corolla  GLi Automatic 1.3 VVTi,2015,1300,5,26.35
Honda,City 5th Generation Aspire 1.5 i-VTEC,2014,1500,5,24.15
Toyota,Vitz  RS 1.3,2008,1300,5,19.9
Toyota,Corolla  Altis Grande CVT-i 1.8,2015,1800,5,32.75
Toyota,Vitz  F Limited 1.0,2010,1000,5,20.8
Daihatsu,Cast  Activa G SA III,2019,660,7,31.5
Suzuki,Alto  VXR,2022,660,4,21.3
Daihatsu,Mira  G SA III,2018,660,7,28
Mercedes,Benz E Class 3rd (W211) Generation E200,2005,1800,5,38
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2018,1500,5,36
Toyota,Passo  + Hana 1.0,2013,1000,5,22.5
Honda,Civic  Oriel 1.8 i-VTEC CVT,2017,1800,5,38.5
Honda,N Wgn  Custom G,2019,660,5,27.5
Suzuki,Alto  VXR,2009,1000,4,9.5
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,46.25
Toyota,Land Cruiser 100 Series VX Limited 4.2D,2001,4200,7,68.5
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,73
Honda,City 5th Generation 1.3 i-VTEC,2017,1300,5,27.3
Honda,Freed  Hybrid,2013,1500,7,31.25
DFSK,Glory 580  Pro,2021,1500,7,50.75
Toyota,Corolla  Altis Automatic 1.6,2021,1600,5,44.5
Honda,City  Aspire Prosmatec 1.5 i-VTEC,2019,1500,5,34.5
Suzuki,Wagon R  ,2016,660,5,21.45
Suzuki,Wagon R  ,2014,660,5,16.5
Hyundai,Elantra  GL,2022,1600,5,52.5
Suzuki,Alto  VXR,2005,660,4,7.25
Honda,City  i-DSI,2008,1300,7,18.5
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,54.25
Suzuki,Swift  GLX CVT,2022,1200,5,40
Daewoo,Racer  Base Grade 1.5,1993,1500,5,3.6
Toyota,Vitz  B 1.0,2007,1000,5,16.25
Suzuki,Cultus  VXRi,2008,1000,5,9.6
Honda,City  i-DSI Vario,2005,1300,7,17.4
Honda,Civic  1.5 RS Turbo,2022,1500,5,78.45
MG,HS  1.5 Turbo,2021,1500,5,63
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,24.5
Suzuki,Cultus  Limited Edition,2013,1000,5,15.49
Suzuki,Wagon R  Hybrid FZ,2018,660,5,27.5
Honda,BR-V  i-VTEC,2018,1500,7,32.9
Honda,Civic  VTi Oriel 1.6,1999,1600,6,17
Honda,Civic  Oriel 1.8 i-VTEC CVT,2020,1800,5,52.5
Toyota,Yaris  ATIV X CVT 1.5,2021,1500,5,37.5
Suzuki,Swift  GLX CVT,2022,1200,5,39.25
Honda,City 5th Generation 1.3 i-VTEC,2017,1300,5,26.75
Honda,City  EXi S,2001,1500,5,12.5
Suzuki,Mehran  VX (CNG),2006,800,4,6.35
Suzuki,Cultus  EURO II,2013,1000,5,11.5
Honda,Civic  Oriel,2022,1500,5,68
Toyota,Vitz  F M Package 1.0,2019,1000,5,40
Toyota,Hilux  Revo V Automatic 2.8,2018,2800,5,95
Nissan,Note  E,2020,1200,5,46
Suzuki,Cultus  VXR,2007,1000,5,7.5
Suzuki,Alto  VXR,2012,1000,4,11.5
Toyota,Hilux  Revo V Automatic 2.8,2019,2800,5,90
Toyota,Corolla Axio  Hybrid 1.5,2015,1500,5,41.5
Nissan,AD Van  ,2006,1300,5,13.35
Toyota,Prado  ,1991,3000,7,22.75
Honda,Vezel  Hybrid X Sensing,2015,1500,5,45
Toyota,Harrier  ,2011,3400,5,68.5
Toyota,Corolla  Altis Automatic 1.6,2022,1600,5,48.2
Honda,Civic Rebirth VTi Oriel Prosmatec 1.8 i-VTEC,2014,1800,5,31
Toyota,Corolla  Altis Grande CVT-i 1.8,2019,1800,5,45.5
Toyota,Corolla  Altis Automatic 1.6,2015,1600,5,30.8
Audi,A3  1.8 TFSI,2015,1800,7,58
Honda,BR-V  i-VTEC S,2022,1500,7,46.25
Honda,City 5th Generation 1.3 i-VTEC,2011,1300,5,21.25
Honda,City 5th Generation 1.3 i-VTEC,2015,1300,5,25.8
Toyota,Aqua  S,2014,1500,5,34.75
Suzuki,Swift  ,2011,1200,5,26
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,52.75
Toyota,Prius  S LED Edition 1.8,2013,1800,5,35.3
KIA,Sportage  AWD,2022,2000,5,71
Honda,City 5th Generation 1.3 i-VTEC,2011,1300,5,20.6
Toyota,Vitz  F 1.0,2018,1000,5,36.75
Honda,Civic  Oriel 1.8 i-VTEC CVT,2018,1800,5,47
Honda,Civic Reborn MXST (Hybrid),2007,1300,5,21.5
Toyota,Corolla  Altis Grande CVT-i 1.8,2015,1800,5,33
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,60.5
Honda,HR-V  VTi-S,2022,1500,5,68.8
Hyundai,Tucson  AWD A/T Ultimate,2022,2000,5,70.5
Toyota,Platz  F 1.0,2004,1000,5,12.95
Honda,BR-V  i-VTEC S,2022,1500,7,47.5
Honda,City  1.5L ASPIRE M/T,2021,1500,7,35.8
Honda,City  1.5L ASPIRE CVT,2022,1500,7,43.3
Honda,Civic  1.5 VTEC Turbo Oriel,2022,1500,5,68.85
Toyota,Prado  ,1991,3000,7,29
Hyundai,Tucson  AWD A/T Ultimate,2022,2000,5,75.3
Honda,Civic  Oriel Prosmatec UG,2012,1800,5,24.75
Honda,City  1.2L CVT,2022,1200,5,38.5
Honda,Civic  1.5 RS Turbo,2022,1500,5,78.8
Suzuki,Khyber  GA,1989,1000,5,2.5
Toyota,Mark X  250G,2005,2500,5,33
Toyota,Prius  S 1.8,2015,1800,5,47
Toyota,Corolla Axio  Hybrid 1.5,2017,1500,5,48
KIA,Sportage  AWD,2021,2000,5,65
Toyota,Prado 120 Series TZ 3.4,2003,3400,7,76
Honda,City 5th Generation Aspire Prosmatec 1.5 i-VTEC,2018,1500,5,32.75
KIA,Stonic  EX+,2022,1400,5,46.5
Suzuki,Swift  GLX CVT,2022,1200,5,40.25
Honda,BR-V  i-VTEC S,2020,1500,7,41.75
Honda,City  Aspire Prosmatec 1.5 i-VTEC,2019,1500,5,33.8
Toyota,Celica  SS-II,1993,2000,5,35
Toyota,Surf  SSR-X 2.7,1999,2700,7,37.5
BAIC,BJ40 Plus  ,2022,2000,5,87.5
Toyota,Prius  S LED Edition 1.8,2014,1800,5,42
Honda,Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,2011,1800,5,26
Honda,Civic  Oriel 1.8 i-VTEC CVT,2019,1800,5,47.5
Honda,City  1.2L CVT,2022,1200,5,39.5
Honda,Civic  1.8 i-VTEC CVT,2017,1800,5,36
MG,HS  1.5 Turbo,2021,1500,5,61.5
Suzuki,Cultus  VXR,2001,1000,5,5.8
Mazda,Titan  ,1994,3000,2,26
Chrysler,300 C  ,2006,3500,5,98
Suzuki,Mehran  VX,1994,800,4,3.5
Suzuki,Mehran  VXR Euro II,2014,796,4,9
Honda,Civic  VTi Oriel Prosmatec 1.6,2003,1600,6,11
Toyota,Hilux  Double Cab,1994,2400,5,16
Mercedes,Benz E Class  E320,1997,3200,5,21.75
Hyundai,Santro  Plus,2000,1000,5,5.8
Honda,Vezel  Hybrid Z Sensing ,2015,1500,5,50
MINI Cooper,Cooper  S,2004,1600,5,43
Honda,City 5th Generation Aspire 1.5 i-VTEC,2013,1500,5,20.5
Toyota,Passo  X L Package,2014,1000,5,23.95
Suzuki,Mehran  VXR Euro II,2016,796,4,12
Suzuki,Alto  VXR,2022,660,4,21.35
Suzuki,Cultus  VXL,2019,1000,5,24.5
KIA,Sportage  AWD,2021,2000,5,68
BMW,X1  sDrive18i,2017,1500,5,77.5
Toyota,Land Cruiser 100 Series VX Limited 4.2D,2006,4200,7,
Toyota,Aqua  G GR Sports,2018,1500,5,57
Toyota,C-HR  1.2 Turbo,2017,1800,5,
MG,HS  1.5 Turbo,2021,1500,5,65
Suzuki,Wagon R  Stingray Limited,2011,660,5,16.8
Suzuki,Wagon R  VXL,2021,1000,5,24.5
Toyota,Land Cruiser 80 Series RKR,1991,4200,7,33.4
Suzuki,Cultus  VXR,2007,1000,5,7.9
Nissan,X Trail  2.0 STT,2005,2000,7,28
KIA,Sportage  AWD,2020,2000,5,61.45
Suzuki,Wagon R  VX,2015,1000,5,15.5
BAIC,BJ40 Plus  Honorable Edition,2022,2000,5,
Haval,Jolion  Top,2022,1500,5,
Haval,H6  High,2022,1500,6,
Suzuki,Alto  L,2021,660,4,28.25
KIA,Sportage  AWD,2021,2000,5,65
Toyota,Corolla  2.0D Saloon,2003,2000,5,26.8
Toyota,Prius  S LED Edition 1.8,2012,1800,5,33.5
Daihatsu,Cuore  CX Eco,2006,800,5,8.49
Honda,Civic Reborn VTi Oriel 1.8 i-VTEC,2010,1800,5,18.2
Toyota,Corolla  Altis X Manual 1.6,2020,1600,5,41.95
Toyota,Yaris  ATIV X CVT 1.5,2021,1500,5,38.75
Toyota,Prado 90 Series TZ 3.0D,1996,3000,7,42
Honda,Civic  Turbo 1.5 VTEC CVT,2016,1500,5,40
KIA,Sportage  AWD,2020,2000,5,62
Toyota,Corolla Fielder  Hybrid,2018,1500,5,52.5
Suzuki,Cultus  VXR,2004,1000,5,6
Honda,Civic EG 1.5 VTEC Turbo Oriel,1992,1500,5,5.45
Suzuki,Khyber  ,1987,1000,5,2.7
Toyota,Vitz  B Intelligent Package 1.0,2010,1000,5,18.8
MG,HS  1.5 Turbo,2021,1500,5,59.85
Toyota,Corolla  Altis X Automatic 1.6,2022,1600,5,
Honda,Civic Rebirth Oriel Prosmatec UG,2013,1800,5,30
Toyota,C-HR  ,2017,1800,5,75
Suzuki,Swift  DLX Automatic 1.3 Navigation,2021,1300,5,27.85
Toyota,Corolla  GLi 1.3 VVTi,2015,1300,5,29.7
Changan,Karvaan  Plus,2022,1000,8,
Changan,Oshan X7  FutureSense,2022,1500,,84.5
Changan,Alsvin  1.5L DCT Lumiere,2022,1500,5,
Honda,City  1.5L ASPIRE CVT,2022,1500,7,44
Toyota,Corolla  GLi 1.3 VVTi,2014,1300,5,28.7
Toyota,Passo  X L Package,2014,1000,5,23.75
Toyota,Corolla  GLi 1.3 VVTi,2017,1300,5,31.95
Toyota,Aqua  G,2016,1500,5,38
Honda,Civic Reborn VTi Oriel Prosmatec 1.8 i-VTEC,2009,1800,5,16.5
Toyota,Tank  ,2018,1000,5,34.25
Honda,Civic  1.8 i-VTEC CVT,2020,1800,5,48.8
Honda,City 5th Generation 1.3 i-VTEC,2013,1300,5,23.25
Toyota,Hilux  D-4D Automatic,2013,3000,5,67
Toyota,Yaris  ATIV X CVT 1.5,2021,1500,5,39.25
Toyota,Yaris  ATIV X CVT 1.5,2020,1500,5,34.75
Honda,Civic  Oriel 1.8 i-VTEC CVT,2020,1800,5,54
Daihatsu,Boon  ,2018,1000,5,32
Honda,Civic  Oriel 1.8 i-VTEC CVT,2020,1800,5,51.5
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,58.75
Suzuki,Alto  VXR,2000,1000,4,6.8
Toyota,Corolla  GLi 1.3 VVTi,2010,1300,5,20
Honda,City  1.5L ASPIRE CVT,2022,1500,7,42.9
KIA,Classic  LX,2001,1323,5,5
Toyota,Corolla  Altis Automatic 1.6,2017,1600,5,33
Suzuki,Wagon R  FA,2016,660,5,20.5
Suzuki,Wagon R  VXL,2017,1000,5,19
Range Rover,Rover Sport  Supercharged 4.2 V8,2006,4200,5,87
Mercedes,Benz E Class 3rd (W211) Generation E200,2004,1800,5,32
Suzuki,Cultus  EURO II,2013,1000,5,15.3
Toyota,Prius  S 1.5,2007,1500,5,25
Honda,City 5th Generation 1.3 i-VTEC,2012,1300,5,19.3
Changan,Alsvin  1.5L DCT Lumiere,2021,1500,5,33.75
Suzuki,Mehran  VXR,1998,800,4,4.5
Honda,City  1.3 i-VTEC Prosmatec,2019,1300,5,31.2
Daihatsu,Mira  ES,2017,660,4,23
Suzuki,Ciaz  Automatic,2018,1400,5,27.75
Mitsubishi,Ek Wagon  ,2018,660,4,
DFSK,Glory 580  Pro,2021,1500,7,57.5
Honda,City 5th Generation 1.3 i-VTEC,2017,1300,5,28
BMW,X1  sDrive18i,2017,1500,5,70
Toyota,Prado 90 Series RX 2.7 (3-Door),1997,2700,7,26.7
Toyota,Vitz  F 1.0,2018,1000,5,32.5
Mitsubishi,Pajero  Exceed Automatic 2.8D,1997,2800,7,29.5
Suzuki,Wagon R  VXR,2022,1000,5,23.9
Toyota,Hilux  Revo G 2.8,2022,2800,5,
Honda,City  VTEC Steermatic,2006,1500,5,15.7
Toyota,Fortuner  Legender ,2022,2800,7,
Honda,Civic  VTi Oriel Prosmatec 1.8 i-VTEC,2016,1800,5,36.75
Hyundai,Tucson  AWD A/T Ultimate,2021,2000,5,69.95
Mitsubishi,Ek Wagon  ,2018,660,4,
Toyota,Passo  X L Package,2014,1000,5,23
Suzuki,Swift  DLX Automatic 1.3 Navigation,2019,1300,5,24.5
Honda,City 5th Generation 1.3 i-VTEC Prosmatec,2018,1300,5,31.5
Suzuki,Mehran  VXR,2011,800,4,7.3
Toyota,Corolla  XLi Automatic,2019,1300,5,32.95
Suzuki,Baleno  GLi,2005,1300,5,8.9
Toyota,Corona  ,1990,2000,5,6.8
Honda,Civic  VTi 1.6,2002,1600,6,12.8
Suzuki,Mehran  ,2008,800,4,6.9
Suzuki,Mehran  VXR Euro II,2016,796,4,9.8
Toyota,Platz  F 1.0,2006,1000,5,13.8
Prince,K07  S,2021,1000,7,10.5
Honda,Civic Eagle Eye VTi Oriel 1.6,2005,1600,6,12.9
Toyota,Corolla Fielder  X G Edition,2007,1500,5,24.5
Suzuki,Khyber  GA,1987,1000,5,3.5
Toyota,Corolla  SE Limited,1994,1500,5,13.9
Honda,City 5th Generation Aspire 1.3 i-VTEC,2015,1300,5,29.5
Honda,City 5th Generation 1.3 i-VTEC,2010,1300,5,22
Toyota,Corolla  Altis X Automatic 1.6,2022,1600,5,49.8
Toyota,Premio  X 1.8,2006,1800,5,23.7
Changan,Alsvin  1.5L DCT Comfort,2022,1500,5,36
Suzuki,Wagon R  VXL,2017,1000,5,18.2
Honda,City 5th Generation 1.5 i-VTEC,2018,1500,5,30
Proton,X70  Premium FWD,2022,1500,5,74
Hyundai,Tucson  AWD A/T Ultimate,2021,2000,5,69
Toyota,Prius  S LED Edition 1.8,2013,1800,5,39
BAIC,BJ40 Plus  Honorable Edition,2022,2000,5,
Honda,City 5th Generation Aspire 1.5 i-VTEC,2017,1500,5,27
Toyota,Corolla  Altis Grande CVT-i 1.8,2020,1800,5,48.95
Toyota,Land Cruiser 80 Series VX Limited 4.5,1992,4500,7,36
Toyota,Corolla  Altis Grande CVT-i 1.8,2020,1800,5,50
Toyota,Prado  TX L Package 2.7,2018,2700,7,
Honda,N Wgn  Custom G Turbo,2020,660,5,37
Toyota,Corolla Indus XE,1997,1300,5,11.5
Suzuki,Cultus  VXR,2007,1000,5,7.5
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,
Honda,Civic  Turbo 1.5 VTEC CVT,2017,1500,5,39
Suzuki,Cultus  VXR,2005,1000,5,8.15
Honda,Civic  RS,2022,1500,5,77
Honda,Accord  24TL Sports Style,2009,2400,5,35
Suzuki,Mehran  VX Euro II,2015,796,4,10.9
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2021,1800,5,55
Toyota,Prius  G Touring Selection Leather Package 1.5,2007,1500,5,22.4
Suzuki,Khyber  GA,1995,1000,5,3.95
Toyota,Corolla  SE Saloon Automatic,2004,1600,5,14.75
Suzuki,Cultus  EURO II,2015,1000,5,14.5
Suzuki,Kei  A,2012,660,4,13.7
Toyota,Vitz  ,2018,1000,5,36.65
Honda,City  1.5L CVT,2022,1500,5,41
Toyota,Corolla  Altis X Automatic 1.6 Special Edition,2022,1600,5,52.4
Suzuki,Mehran  VXR Euro II,2017,796,4,11.6
Toyota,Corolla  GLi Automatic 1.3 VVTi,2018,1300,5,37
Toyota,Fortuner  2.7 VVTi,2018,2700,7,90
Toyota,Vitz  F 1.0,2003,1000,5,15.8
Toyota,Corona  ,1984,1300,5,5.75
Daihatsu,Mira  ,2014,660,4,20.2
Toyota,Prado  TX L Package 2.7,2013,2700,7,
Honda,City  1.5L ASPIRE CVT,2022,1500,7,
Mercedes,Benz C Class  C180 Exclusive,2016,1500,5,
Suzuki,Swift  GLX CVT,2022,1200,5,
Toyota,Fortuner  2.8 Sigma 4,2022,2800,7,
Suzuki,Swift  GLX CVT,2022,1200,5,41.9
Toyota,Corolla  Altis Automatic 1.6,2022,1600,5,
Honda,Insight  HDD Navi Special Edition,2010,1300,7,23.5
Toyota,Corolla  Altis Grande CVT-i 1.8,2014,1800,5,34.95
Toyota,Corolla  Altis Grande X CVT-i 1.8 Beige Interior,2022,1800,5,60.7
Suzuki,Alto  S Package,2021,660,4,28.75
Haval,H6  2.0T AWD,2022,2000,6,93
Suzuki,Swift  GLX CVT,2022,1200,5,38.75
Toyota,Prado 120 Series TX Limited 3.4,2003,3400,7,67
Toyota,Corolla  Altis Grande CVT-i 1.8,2014,1800,5,31.6
Toyota,Premio  X 1.8,2003,1800,5,31
Honda,Civic  Oriel 1.8 i-VTEC CVT,2018,1800,5,47.75
Suzuki,Mehran  VX Euro II,2015,796,4,10.9
Toyota,Rush  G Limited,2009,1500,5,35
Toyota,Corolla  Altis Grande CVT-i 1.8,2020,1800,5,49.5
Suzuki,Swift  GLX CVT,2022,1200,5,39.6
Daihatsu,Mira  G SA III,2018,660,7,28.65
Honda,City  1.5L ASPIRE CVT,2022,1500,7,
KIA,Sportage  AWD,2022,2000,5,
Toyota,Corolla  Altis Grande X CVT-i 1.8 Black Interior,2022,1800,5,
Toyota,Corolla  Altis X Automatic 1.6,2021,1600,5,46
Suzuki,Mehran  VXR Euro II,2015,796,4,9.8
Hyundai,Tucson  AWD A/T Ultimate,2022,2000,5,
Toyota,Hilux  Revo Rocco,2022,2800,5,
Toyota,Yaris  ATIV X CVT 1.5,2022,1500,5,
Toyota,Fortuner  Legender ,2022,2800,7,
Honda,Civic  Oriel,2022,1500,5,
Toyota,Hilux  Revo Rocco,2022,2800,5,
Honda,City 5th Generation 1.3 i-VTEC,2016,1300,5,23.9
Toyota,Prado 120 Series TZ G 3.4,2004,3400,7,
Honda,Vezel  Hybrid Z Sensing ,2017,1500,5,57.5
Toyota,Vitz  F 1.0,2018,1000,5,38.3
Chevrolet,Matiz  ,2013,1000,5,8.7
Toyota,Prius  G 1.8,2011,1800,5,33.25
KIA,Sportage  AWD,2022,2000,5,70
Toyota,Aqua  S,2015,1500,5,30.9
Toyota,Yaris  ATIV X CVT 1.5,2021,1500,5,38
Honda,Civic  VTi Oriel 1.6,2001,1600,6,10
Suzuki,Liana  RXi (CNG),2014,1300,4,14.1
Honda,BR-V  i-VTEC S,2017,1500,7,35.5
Honda,BR-V  i-VTEC S,2022,1500,7,
Suzuki,Alto  VX,2022,660,4,19.7
Haval,H6  High,2022,1500,6,
Hyundai,Sonata  2.5,2022,2500,5,
DFSK,Glory 580  Pro,2022,1500,7,
Suzuki,Cultus  EURO II,2015,1000,5,15.75
Honda,Civic Reborn VTi Prosmatec 1.8 i-VTEC,2009,1800,5,17.5
BAIC,BJ40 Plus  Honorable Edition,2022,2000,5,
Toyota,Corolla  GLi Automatic 1.3 VVTi,2019,1300,5,34
KIA,Picanto  1.0 AT,2022,1000,5,
Mazda,RX8  Type S,2005,1300,4,24
BAIC,BJ40 Plus  Honorable Edition,2022,2000,5,
Toyota,Land Cruiser 100 Series VX Limited 4.2D,2006,4200,7,78
Honda,City 5th Generation 1.3 i-VTEC,2018,1300,5,29.5
Suzuki,Cultus  VXRi,2008,1000,5,10.5
Toyota,Prius  S LED Edition 1.8,2014,1800,5,42
Suzuki,Mehran  VXR,2008,800,4,5.3
Toyota,Passo  + Hana 1.0,2011,1000,5,21.5
Toyota,Camry XV50 Hybrid,2015,2500,5,80
Honda,Civic  VTi Prosmatec 1.8 i-VTEC,2012,1800,5,21.75
